TYPE,LICENSEE,PROGRAM NAME,AUTHORIZATION,"LICENSING 
DEPARTMENT",BEDS,COUNTY,FACILITY ADDRESS,CITY,ZIP CODE,CERTIFICATE NUMBER,STATE,LOCATION
STRTP (Short-Term Residential Therapeutic Program),Healthcare Innovations Network Inc,Creekside Strtp,Approved,CDSS,6,San Bernardino,Unknown,Mentone,92359,MH/36/04/23,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Hillsides,Hillsides,Approved,CDSS,6,Los Angeles,Unknown,Los Angeles,90043,MH/19/02/23,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Hope For Youth Inc,Harvard House,Approved,CDSS,6,Fresno,Unknown,Fresno,93722,10FM,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Humanistic Foundation Inc,New Concept 2,Approved,CDSS,6,Los Angeles,Unknown,Inglewood,90305,MH/19/03/25,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Humanistic Foundation Inc,New Concept,Approved,CDSS,8,Los Angeles,Unknown,Los Angeles,90043,MH/19/14/21,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Humanistic Foundation Inc,Stockdale Boys Center 2,Approved,CDSS,6,Kern,Unknown,Bakersfield,93309,MH/15/05/20,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Humanistic Foundation Inc,Stockdale Boys Center,Approved,CDSS,6,Kern,Unknown,Bakersfield,93309,MH/15/04/20,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Inspire A Youth Inc,Sojourners Haven 3,Approved,CDSS,6,San Bernardino,Unknown,Victorville,92392,MH/36/25/21,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Inspire A Youth Inc,Sojourners Haven Group Home 2,Approved,CDSS,6,Riverside,Unknown,Riverside,92509,MH/33/15/21,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Inspiring Pathways Inc,Inspiring Pathways,Approved,CDSS,6,Kings,Unknown,Hanford,93230,MH/16/01/21,California,"Kings, California"
STRTP (Short-Term Residential Therapeutic Program),James Penny House Inc,James Penny House Inc,Approved,CDSS,6,Kern,Unknown,Bakersfield,93313,MH/15/10/23,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Jordan House Of Umoja,Jordan House Of Umoja,Approved,CDSS,6,Contra Costa,Unknown,Pittsburg,94565,MH/07/02/25,California,"Contra Costa, California"
STRTP (Short-Term Residential Therapeutic Program),Kern Bridges Youth Homes Inc,John & Dorothy Almklov House,Approved,CDSS,6,Kern,Unknown,Bakersfield,93313,MH/15/03/21,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Kern Bridges Youth Homes Inc,Daniel And Nancy Marble Casa De Ninos,Approved,CDSS,12,Kern,Unknown,Mcfarland,93250,MH/15/04/21,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Koinonia Foster Homes Inc,Koinonia House 2,Approved,CDSS,6,Placer,Unknown,Loomis,95650,MH/31/02/18,California,"Placer, California"
STRTP (Short-Term Residential Therapeutic Program),Koinonia Foster Homes Inc,Koinonia House 1,Approved,CDSS,6,Placer,Unknown,Loomis,95650,MH/31/01/18,California,"Placer, California"
STRTP (Short-Term Residential Therapeutic Program),La Cheim Residential Treatment Centers,La Cheim Strtp,Approved,CDSS,6,Contra Costa,Unknown,Richmond,94805,MH/07/02/21,California,"Contra Costa, California"
STRTP (Short-Term Residential Therapeutic Program),Lachelle & Selena Inc,Camry Group Home 2,Approved,CDSS,6,San Bernardino,Unknown,Alta Loma,91701,MH/36/02/22,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Lighthouse Mentoring Center The,Lighthouse Mentoring Center,Approved,CDSS,8,Contra Costa,Unknown,Antioch,94509,MH/07/02/22,California,"Contra Costa, California"
STRTP (Short-Term Residential Therapeutic Program),Lighthouse Mentoring Center The,Lighthouse Mentoring Center 4,Approved,CDSS,6,Contra Costa,Unknown,Antioch,94531,MH/07/05/22,California,"Contra Costa, California"
STRTP (Short-Term Residential Therapeutic Program),Lighthouse Mentoring Center The,Lighthouse Mentoring Center 3,Approved,CDSS,6,Contra Costa,Unknown,Pittsburg,94565,MH/07/04/22,California,"Contra Costa, California"
STRTP (Short-Term Residential Therapeutic Program),Lighthouse Mentoring Center The,Lighthouse Mentoring Center 2,Approved,CDSS,6,Contra Costa,Unknown,Antioch,94531,MH/07/03/22,California,"Contra Costa, California"
STRTP (Short-Term Residential Therapeutic Program),Luvlee'S Residential Care Inc,New Dawn,Approved,CDSS,6,Los Angeles,Unknown,Walnut,91789,MH/19/12/20,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Luvlee'S Residential Care Inc,New Dawn,Approved,CDSS,6,San Bernardino,Unknown,Chino,91710,MH/36/18/19,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Manuch Inc,Manuch Inc-Riverpine,Approved,CDSS,3,Fresno,Unknown,Fresno,93711,10GB,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Manuch Inc,Manuch Inc- Inspiration Peak,Approved,CDSS,6,Fresno,Unknown,Fresno,93722,10GC,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Manuch Inc,Manuch Inc- Aspen House,Approved,CDSS,6,Fresno,Unknown,Fresno,93722,10FR,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Mary'S Shelter,Mary'S Shelter - House 2,Approved,CDSS,11,Orange,Unknown,Santa Ana,92705,MH/30/06/21,California,"Orange, California"
STRTP (Short-Term Residential Therapeutic Program),Mary'S Shelter,Mary'S Shelter - House 1,Approved,CDSS,17,Orange,Unknown,Santa Ana,92705,MH/30/07/21,California,"Orange, California"
STRTP (Short-Term Residential Therapeutic Program),Mckinley Children'S Center Inc,Mckinley Children'S Center Inc,Approved,CDSS,16,Los Angeles,Unknown,San Dimas,91773,MH/19/08/21,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Michigan House Inc,Michigan House 2,Approved,CDSS,6,Fresno,Unknown,Fresno,93706,10FP,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Michigan House Inc,Michigan House,Approved,CDSS,6,Fresno,Unknown,Fresno,93704,10FQ,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Milestone House,Milestone Group Home,Approved,CDSS,6,San Diego,Unknown,Oceanside,92054,MH/37/07/21,California,"San Diego, California"
STRTP (Short-Term Residential Therapeutic Program),Millie'S Youth Services Inc,Millie'S Youth Services,Approved,CDSS,6,Alameda,Unknown,Oakland,94605,MH/01/02/21,California,"Alameda, California"
STRTP (Short-Term Residential Therapeutic Program),Mindful Growth Foundation,Mindful Growth Foundation 3Rd Ave Home,Approved,CDSS,6,Los Angeles,Unknown,Los Angeles,90043,MH/19/02/25,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Mindful Growth Foundation,Mindful Growth Foundation - Gramercy House,Approved,CDSS,6,Los Angeles,Unknown,Los Angeles,90062,MH/19/01/25,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Mindful Growth Foundation,Mindful Growth Foundation,Approved,CDSS,6,Los Angeles,Unknown,Los Angeles,90043,MH/19/04/23,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Mindful Growth Foundation,Mindful Growth Foundation 2,Approved,CDSS,6,Los Angeles,Unknown,Los Angeles,90062,MH/19/05/23,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Mountain Valley Child And Family Services Inc,Mountain Valley Child And Family-Gerber,Approved,CDSS,6,Sacramento,Unknown,Sacramento,95829,MH/34/02/19,California,"Sacramento, California"
STRTP (Short-Term Residential Therapeutic Program),Msk Solutions Inc,Mile High Mountain Top,Approved,CDSS,6,Solano,Unknown,Fairfield,94534,MH/48/03/21,California,"Solano, California"
STRTP (Short-Term Residential Therapeutic Program),Msk Solutions Inc,Mile High Legend Home,Approved,CDSS,6,Solano,Unknown,Vallejo,94591,MH/48/02/21,California,"Solano, California"
STRTP (Short-Term Residential Therapeutic Program),New Alternatives Inc,New Alternatives Inc 5 (Sibling Assessment Facility),Approved,CDSS,16,Orange,Unknown,Costa Mesa,92627,MH/30/05/19,California,"Orange, California"
STRTP (Short-Term Residential Therapeutic Program),New Alternatives Inc,New Alternatives Inc 1,Approved,CDSS,9,San Diego,Unknown,Spring Valley,91977,MH/37/01/19,California,"San Diego, California"
STRTP (Short-Term Residential Therapeutic Program),New Alternatives Inc,New Alternatives Inc 16,Approved,CDSS,16,San Diego,Unknown,Chula Vista,91911,MH/37/02/19,California,"San Diego, California"
STRTP (Short-Term Residential Therapeutic Program),New Alternatives Inc,New Alternatives Inc (Crisis Resolution Facility),Approved,CDSS,16,Orange,Unknown,Orange,92666,MH/30/01/19,California,"Orange, California"
STRTP (Short-Term Residential Therapeutic Program),New Beginnings Residential Treatment Facilities,New Beginnings Residential Treatment Facilities,Approved,CDSS,8,Riverside,Unknown,Perris,92571,MH/33/05/19,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),New Beginnings Residential Treatment Facilities,New Beginnings Residential Treatment Facilities- Raja,Approved,CDSS,8,Riverside,Unknown,Perris,92571,MH/33/06/19,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),New Beginnings Residential Treatment Facilities,New Beginnings Residential Treatment Facilities-Shalom,Approved,CDSS,6,Riverside,Unknown,Perris,92571,MH/33/07/19,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),New Start Youth Facility Inc,New Start Youth Facility,Approved,CDSS,6,Kern,Unknown,Bakersfield,93304,MH/15/02/21,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),New Start Youth Facility Inc,First Step,Approved,CDSS,6,Kern,Unknown,Bakersfield,93309,MH/15/01/21,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),New Way Group Home Inc,New Way Group Home 2,Approved,CDSS,6,Ventura,Unknown,Oxnard,93035,MH/56/03/22,California,"Ventura, California"
STRTP (Short-Term Residential Therapeutic Program),New Way Group Home Inc,New Way Group Home,Approved,CDSS,6,Ventura,Unknown,Oxnard,93035,MH/56/02/22,California,"Ventura, California"
STRTP (Short-Term Residential Therapeutic Program),Oakendell Corporation,Oakendell,Approved,CDSS,16,Calaveras,Unknown,San Andreas,95249,MH/05/01/21,California,"Calaveras, California"
STRTP (Short-Term Residential Therapeutic Program),Olive Crest Treatment Centers Inc,Olive Crest-Hope Refuge,Approved,CDSS,16,Santa Barbara,Unknown,Goleta,93117,MH/42/03/22,California,"Santa Barbara, California"
STRTP (Short-Term Residential Therapeutic Program),Olive Crest Treatment Centers Inc,Richmond,Approved,CDSS,6,Riverside,Unknown,Perris,92570,MH/33/11/19,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Olive Crest Treatment Centers Inc,Lyon,Approved,CDSS,6,Riverside,Unknown,Perris,92570,MH/33/14/19,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Olive Crest Treatment Centers Inc,Forecast,Approved,CDSS,6,Riverside,Unknown,Perris,92570,MH/33/13/19,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Olive Crest Treatment Centers Inc,Beazer,Approved,CDSS,6,Riverside,Unknown,Perris,92570,MH/33/12/19,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Olive Crest Treatment Centers Inc,Olive Crest - Wheeler,Approved,CDSS,6,Orange,Unknown,Orange,92869,MH/30/03/19,California,"Orange, California"
STRTP (Short-Term Residential Therapeutic Program),Olive Crest Treatment Centers Inc,Olive Crest - Saylor,Approved,CDSS,6,Orange,Unknown,Santa Ana,92705,MH/30/02/19,California,"Orange, California"
STRTP (Short-Term Residential Therapeutic Program),Olive Crest Treatment Centers Inc,Olive Crest - Malena,Approved,CDSS,6,Orange,Unknown,Santa Ana,92705,MH/30/06/19,California,"Orange, California"
STRTP (Short-Term Residential Therapeutic Program),Open Line Group Homes Inc,Open Line - Woodcliff,Approved,CDSS,6,Shasta,Unknown,Redding,96002,MH/45/02/23,California,"Shasta, California"
STRTP (Short-Term Residential Therapeutic Program),Open Line Group Homes Inc,Open Line - The Oaks,Approved,CDSS,6,Shasta,Unknown,Redding,96002,MH/45/01/23,California,"Shasta, California"
STRTP (Short-Term Residential Therapeutic Program),Optimist Boys' Home And Ranch Inc,Pacific Lodge Campus,Approved,CDSS,8,Los Angeles,Unknown,Woodland Hills,91364,MH/19/02/18,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Our Healing Center,Our Healing Center,Approved,CDSS,6,Santa Barbara,Unknown,Lompoc,93436,MH/42/01/25,California,"Santa Barbara, California"
STRTP (Short-Term Residential Therapeutic Program),Our Safe Haven Inc,Our Safe Haven Inc,Approved,CDSS,6,Alameda,Unknown,"Castro
Valley",94546,MH/01/01/23,California,"Alameda, California"
STRTP (Short-Term Residential Therapeutic Program),Paradise Adolescent Homes Inc,Maritza Jefferson,Approved,CDSS,6,Solano,Unknown,Vallejo,94591,MH/48/01/24,California,"Solano, California"
STRTP (Short-Term Residential Therapeutic Program),Paradise Adolescent Homes Inc,Paradise Home,Approved,CDSS,6,Contra Costa,Unknown,San Ramon,94583,MH/07/01/21,California,"Contra Costa, California"
STRTP (Short-Term Residential Therapeutic Program),Paradise Adolescent Homes Inc,Paradise Adolescent Homes,Approved,CDSS,6,Solano,Unknown,Suisun City,94585,MH/48/01/21,California,"Solano, California"
STRTP (Short-Term Residential Therapeutic Program),Paradise Oaks Youth Services,Paradise Oaks - Rosa Vista,Approved,CDSS,6,Sacramento,Unknown,Citrus Heights,95610,MH/34/09/20,California,"Sacramento, California"
STRTP (Short-Term Residential Therapeutic Program),Paradise Oaks Youth Services,Paradise Oaks - Olivine,Approved,CDSS,6,Sacramento,Unknown,Citrus Heights,95610,MH/34/08/20,California,"Sacramento, California"
STRTP (Short-Term Residential Therapeutic Program),Paradise Oaks Youth Services,Paradise Oaks - Old Auburn,Approved,CDSS,6,Sacramento,Unknown,Citrus Heights,95610,MH/34/07/20,California,"Sacramento, California"
STRTP (Short-Term Residential Therapeutic Program),Paradise Oaks Youth Services,Paradise Oaks - Mariposa,Approved,CDSS,6,Sacramento,Unknown,Citrus Heights,95610,MH/34/06/20,California,"Sacramento, California"
STRTP (Short-Term Residential Therapeutic Program),Paradise Oaks Youth Services,Paradise Oaks - Hickory,Approved,CDSS,6,Sacramento,Unknown,Orangevale,95662,MH/34/03/20,California,"Sacramento, California"
STRTP (Short-Term Residential Therapeutic Program),Paradise Oaks Youth Services,Paradise Oaks - Hazel,Approved,CDSS,6,Sacramento,Unknown,Orangevale,95662,MH/34/02/20,California,"Sacramento, California"
STRTP (Short-Term Residential Therapeutic Program),Plan-It Life Inc,Plan-It Life,Approved,CDSS,6,Riverside,Unknown,Banning,92220,MH/33/07/21,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Plan-It Life Inc,Plan-It Life,Approved,CDSS,6,Riverside,Unknown,Murrieta,92563,MH/33/08/21,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Plan-It Life Inc,Plan-It Life Temecula House,Approved,CDSS,6,Riverside,Unknown,Temecula,92592,MH/33/09/21,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Plan-It Life Inc,Plan-It Life,Approved,CDSS,6,Riverside,Unknown,Riverside,92509,MH/33/06/21,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Promesa Behavioral Health,Promesa Millbrook House,Approved,CDSS,25,Fresno,Unknown,Fresno,93726,10FB,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Promesa Behavioral Health,Promesa Spruce House,Approved,CDSS,6,Fresno,Unknown,Fresno,93720,10FA,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Promesa Behavioral Health,Promesa Niles 5 House,Approved,CDSS,6,Fresno,Unknown,Fresno,93720,1000000000,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Promesa Behavioral Health,Promesa Niles 4 House,Approved,CDSS,6,Fresno,Unknown,Fresno,93720,10FD,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Promesa Behavioral Health,Promesa Minarets House,Approved,CDSS,6,Fresno,Unknown,Fresno,93720,100000,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Promesa Behavioral Health,Promesa Barstow House,Approved,CDSS,6,Fresno,Unknown,Fresno,93711,100000000,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Promesa Behavioral Health,Promesa Behavioral Health Van Ness,Approved,CDSS,6,Fresno,Unknown,Fresno,93710,10FC,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Promesa Behavioral Health,Promesa Madera House,Approved,CDSS,6,Madera,Unknown,Madera,93636,MH/20/01/19,California,"Madera, California"
STRTP (Short-Term Residential Therapeutic Program),Purposely Chosen Inc,Born For Nia Maternity Home,Approved,CDSS,9,Riverside,Unknown,Moreno Valley,92553,MH/33/02/22,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Purposely Chosen Inc,Born For Nia Maternity Home,Approved,CDSS,9,San Bernardino,Unknown,San Bernardino,92407,MH/36/06/22,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Quality Group Homes Inc,Quality Family Services-Sample,Approved,CDSS,6,Fresno,Unknown,Fresno,93710,1049,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Quality Group Homes Inc,Quality Family Services-Gettysburg,Approved,CDSS,6,Fresno,Unknown,Fresno,93726,1039,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Quality Group Homes Inc,Quality Family Services-Yale,Approved,CDSS,6,Fresno,Unknown,Fresno,93704,1051,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Quality Group Homes Inc,Quality Family Services-Millbrook,Approved,CDSS,6,Fresno,Unknown,Fresno,93710,1042,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Quality Group Homes Inc,Quality Family Services-Clinton,Approved,CDSS,6,Fresno,Unknown,Fresno,93703,1038,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Quality Group Homes Inc,Quality Family Services-Belmont,Approved,CDSS,6,Fresno,Unknown,Fresno,93722,1036,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Quality Group Homes Inc,Quality Family Services-Cambridge,Approved,CDSS,6,Fresno,Unknown,Fresno,93703,1037,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Rancho San Antonio Boys Home Inc,Rancho San Antonio Boys Home Inc,Approved,CDSS,16,Los Angeles,Unknown,Chatsworth,91311,MH/19/01/23,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Rancho San Antonio Boys Home Inc,Rancho San Antonio Boys Home Inc,Approved,CDSS,16,Los Angeles,Unknown,Chatsworth,91311,MH/19/08/19,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Reach To Win Youth Home & Family Services Inc,Reach To Win Youth Home Facility 1,Approved,CDSS,6,Contra Costa,Unknown,Antioch,94531,MH/07/01/25,California,"Contra Costa, California"
STRTP (Short-Term Residential Therapeutic Program),Redwood Community Services Inc,Redwood Community Services Inc - Sequoia House,Approved,CDSS,2,Humboldt,Unknown,Eureka,95501,MH/12/01/25,California,"Humboldt, California"
STRTP (Short-Term Residential Therapeutic Program),Redwood Community Services Inc,Redwood Community Services Inc-Birch House,Approved,CDSS,3,Mendocino,Unknown,Redwood Valley,95470,MH/23/01/20,California,"Mendocino, California"
STRTP (Short-Term Residential Therapeutic Program),Remi Vista Inc,Remi Vista Porta Dego Home,Approved,CDSS,6,Shasta,Unknown,Redding,96003,MH/45/01/20,California,"Shasta, California"
STRTP (Short-Term Residential Therapeutic Program),Rite Of Passage Atcs Inc,Mt Lassen Treatment Center,Approved,CDSS,16,Calaveras,Unknown,San Andreas,95249,MH/05/02/24,California,"Calaveras, California"
STRTP (Short-Term Residential Therapeutic Program),Rite Of Passage Atcs Inc,Rop Atcs Johnson House,Approved,CDSS,6,Orange,Unknown,Costa Mesa,92626,MH/30/03/24,California,"Orange, California"
STRTP (Short-Term Residential Therapeutic Program),Rite Of Passage Atcs Inc,Rop Atcs Joann House,Approved,CDSS,6,Orange,Unknown,Costa Mesa,92626,MH/30/02/24,California,"Orange, California"
STRTP (Short-Term Residential Therapeutic Program),Rite Of Passage Atcs Inc,Rop Atcs Baker House,Approved,CDSS,6,Orange,Unknown,Costa Mesa,92626,MH/30/01/24,California,"Orange, California"
STRTP (Short-Term Residential Therapeutic Program),Rite Of Passage Atcs Inc,Yosemite Treatment Center,Approved,CDSS,16,Calaveras,Unknown,San Andreas,95249,MH/05/01/24,California,"Calaveras, California"
STRTP (Short-Term Residential Therapeutic Program),Rite Of Passage Atcs Inc,Rop Qualifying House Tallac,Approved,CDSS,6,El Dorado,Unknown,South Lake Tahoe,96150,MH/09/01/21,California,"El Dorado, California"
STRTP (Short-Term Residential Therapeutic Program),Rite Of Passage Atcs Inc,Rop Qualifying House Mount Ruby,Approved,CDSS,6,Alpine,Unknown,Markleeville,96120,MH/02/02/21,California,"Alpine, California"
STRTP (Short-Term Residential Therapeutic Program),Rite Of Passage Atcs Inc,Rop Qualifying House Freel,Approved,CDSS,6,Alpine,Unknown,Markleeville,96120,MH/02/01/21,California,"Alpine, California"
STRTP (Short-Term Residential Therapeutic Program),Rite Of Passage Atcs Inc,Rop Harbor City Home,Approved,CDSS,6,Los Angeles,Unknown,San Pedro,90731,MH/19/12/21,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Rite Of Passage Atcs Inc,Emancipation Home,Approved,CDSS,6,Los Angeles,Unknown,Torrance,90501,MH/19/13/21,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Rite Of Passage Atcs Inc,Tustin Family Campus Qualifying House-Male,Approved,CDSS,6,Orange,Unknown,Tustin,92780,MH/30/03/20,California,"Orange, California"
STRTP (Short-Term Residential Therapeutic Program),Rite Of Passage Atcs Inc,Tustin Family Campus Qualifying House-Female,Approved,CDSS,6,Orange,Unknown,Tustin,92782,MH/30/04/20,California,"Orange, California"
STRTP (Short-Term Residential Therapeutic Program),Rite Of Passage Atcs Inc,Rop Paragon House,Approved,CDSS,6,Orange,Unknown,Placentia,92870,MH/30/02/20,California,"Orange, California"
STRTP (Short-Term Residential Therapeutic Program),Rite Of Passage Atcs Inc,Rop Livingston House,Approved,CDSS,6,Orange,Unknown,Placentia,92870,MH/30/01/20,California,"Orange, California"
STRTP (Short-Term Residential Therapeutic Program),Sacramento Children'S Home,Sacramento Children'S Home 1,Approved,CDSS,8,Sacramento,Unknown,Sacramento,95820,Mh/34/05/19,California,"Sacramento, California"
STRTP (Short-Term Residential Therapeutic Program),Sacramento Children'S Home,Helen E Cowell Children'S Center,Approved,CDSS,8,Sacramento,Unknown,Sacramento,95820,Mh/34/04/19,California,"Sacramento, California"
STRTP (Short-Term Residential Therapeutic Program),San Gabriel Children'S Center (Sgcc Inc),San Gabriel Children'S Center Inc/Homerest Home,Approved,CDSS,6,Los Angeles,Unknown,Azusa,91702,MH/19/03/20,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),San Gabriel Children'S Center (Sgcc Inc),San Gabriel Children'S Center Inc/Enid Home,Approved,CDSS,6,Los Angeles,Unknown,Azusa,91702,MH/19/02/20,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),San Mateo County Mental Health Division,Elysian,Approved,CDSS,6,San Mateo,Unknown,San Mateo,94402,MH/41/01/20,California,"San Mateo, California"
STRTP (Short-Term Residential Therapeutic Program),San Mateo County Mental Health Division,Canyon Oaks Youth Center,Approved,CDSS,12,San Mateo,Unknown,Redwood City,94062,MH/41/01/19,California,"San Mateo, California"
STRTP (Short-Term Residential Therapeutic Program),Scott'S Social Services Inc,Scott'S Youth Facility 3,Approved,CDSS,6,Tulare,Unknown,Tulare,93274,MH/54/01/25,California,"Tulare, California"
STRTP (Short-Term Residential Therapeutic Program),Scott'S Youth Services Inc,Scott'S Youth Facility,Approved,CDSS,6,Kern,Unknown,Bakersfield,93306,MH/15/08/23,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Scott'S Youth Services Inc,Scott'S Youth Facility 2,Approved,CDSS,6,Kern,Unknown,Bakersfield,93313,MH/15/09/23,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Second Home Inc,2Nd Home Inc-Sample,Approved,CDSS,6,Fresno,Unknown,Clovis,93611,10F9,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Second Home Inc,Second Home Inc - Tenaya House,Approved,CDSS,6,Fresno,Unknown,Fresno,93710,1035,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Second Home Inc,Second Home Inc - San Jose,Approved,CDSS,6,Fresno,Unknown,Clovis,93611,1033,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Seneca Family Of Agencies,Seneca Aspire Oakland 2,Approved,CDSS,2,Alameda,Unknown,Oakland,94605,MH/01/02/24,California,"Alameda, California"
STRTP (Short-Term Residential Therapeutic Program),Seneca Family Of Agencies,Seneca Compass-Ventura,Approved,CDSS,6,Ventura,Unknown,Oxnard,93036,MH/56/01/18,California,"Ventura, California"
STRTP (Short-Term Residential Therapeutic Program),Sierra Quest Human Services Foundation Inc,Sierra Quest Boys Academy,Approved,CDSS,6,Mariposa,Unknown,Mariposa,95338,1,California,"Mariposa, California"
STRTP (Short-Term Residential Therapeutic Program),Sierra Vista Child & Family Services,Sierra Vista-Hunter House,Approved,CDSS,8,Stanislaus,Unknown,Modesto,95351,MH/50/13/19,California,"Stanislaus, California"
STRTP (Short-Term Residential Therapeutic Program),Silence Aloud Inc,Search Light Center For Healing (Slc4H),Approved,CDSS,6,Riverside,Unknown,Moreno Valley,92555,MH/33/13/21,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),South Coast Children'S Society Inc,South Coast Childrens Society-Caladium,Approved,CDSS,6,Orange,Unknown,Fountain Valley,92708,MH/30/03/21,California,"Orange, California"
STRTP (Short-Term Residential Therapeutic Program),St Anne'S Family Services,St Anne'S Strtp,Approved,CDSS,30,Los Angeles,Unknown,Los Angeles,90026,MH/19/02/19,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Success In Recovery Inc,Success In Recovery 2,Approved,CDSS,6,Tulare,Unknown,Visalia,93277,MH/54/02/19,California,"Tulare, California"
STRTP (Short-Term Residential Therapeutic Program),Success In Recovery Inc,Success In Recovery,Approved,CDSS,6,Tulare,Unknown,Visalia,93277,MH/54/01/19,California,"Tulare, California"
STRTP (Short-Term Residential Therapeutic Program),Summerplace Inc,Summerplace Inc,Approved,CDSS,6,San Bernardino,Unknown,Ontario,91764,MH/36/01/22,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Summitview Child & Family Services Inc,Summitview Child And Family Services - Sugar Pine,Approved,CDSS,6,El Dorado,Unknown,Placerville,95667,MH/09/01/25,California,"El Dorado, California"
STRTP (Short-Term Residential Therapeutic Program),Summitview Child And Family Services Inc,Summitview Child And Family Services - Lotus,Approved,CDSS,6,El Dorado,Unknown,Placerville,95667,MH/09/02/19,California,"El Dorado, California"
STRTP (Short-Term Residential Therapeutic Program),T&T House Of Champions Inc,T&T House Of Champions Inc,Approved,CDSS,6,Alameda,Unknown,Oakland,94601,MH/01/01/21,California,"Alameda, California"
